,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p0,0.062,0.006,0.051,0.072,0.0,0.0,2576.0,2494.0,1.0
b0,0.031,2.014,-3.805,3.763,0.028,0.029,5063.0,3738.0,1.0
b_first,2.295,0.186,1.97,2.666,0.003,0.003,2919.0,3225.0,1.0
b_low,0.086,0.083,0.0,0.233,0.002,0.002,2506.0,2233.0,1.0
b_pity,2.305,0.54,1.273,3.306,0.01,0.008,2748.0,2424.0,1.0
k_star,78.177,0.275,77.734,78.732,0.004,0.005,4290.0,3097.0,1.0
