,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
M1,0,-789.254789409619,4.484909920636028,0.0,0.9999999999996938,30.232740332699272,0.0,False,log
M2,1,-802.4755455662619,4.499536548419314,13.220756156642958,1.0946799022804043e-13,29.637672760932517,4.265272755801073,False,log
M3,2,-819.7064833404859,4.87825163983473,30.451693930867062,1.9662049766111522e-13,30.287810199058544,8.92111888757672,False,log
